question,answer
activated 5g,"Apologies for the disruption. For your mobile request, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
"Freeze data 99 from 17597129, reverse to 17971294","Sorry this happened. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
iphone 17pro max enquiry,"Apologies for the disruption. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Sim replacement enquiry,"We understand this can be frustrating. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
eloaded to wrong number,"We appreciate you bringing this to our attention. For your mobile request, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Upgrade to 4g sim,"We understand your concern. For your mobile request, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
telegram inquiry,"We hear you, and we are here to help. We already have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
data to talktime convert inquiry,"We understand this can be frustrating. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
sim refreshed try once,"Your concern is valid, and we are checking it now. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Bngul access unblocked and pin reset done,"Your concern is valid, and we are checking it now. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"freeze from cc, kindly reverse data 999 from 17993303 to 17993306.","Sorry this happened. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Recommended BT app to convert data,"Apologies for the disruption. For your mobile request, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
Poor network issue complaint,"Thank you for your patience. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
elaod inquiry,"We hear you, and we are here to help. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"699 freeze from17468293,..,reverse to 17468292","Sorry this happened. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
will call back with details,"We appreciate you bringing this to our attention. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Kindly reverse the following,"Apologies for the disruption. We already have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
bob offline enquiry,"We appreciate you bringing this to our attention. We already have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"Phone lost , location tracing","Apologies for the disruption. Support has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"net refreshed , site not down as per switch","We appreciate you bringing this to our attention. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
mailed manager Samtse regarding network issue,"Your concern is valid, and we are checking it now. For your mobile request, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
Sim installed mode,"Thank you for your patience. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Data adjustment call,"Thanks for reporting this. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Data sharing call,"Your concern is valid, and we are checking it now. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
shown how go for data convert on bt app,"Your concern is valid, and we are checking it now. For your mobile request, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
Sim is deactivated,"We hear you, and we are here to help. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
BT app iqnuiry,"Sorry this happened. Regarding your mobile issue, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
Informed to check apn sitting,"Sorry this happened. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
data can't convert to talk time but date reversal is possible,"Your concern is valid, and we are checking it now. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Tcell network issue,"We understand this can be frustrating. For your mobile request, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
"99 freeze from 17576614,..,reverse to 17731480","Thanks for reporting this. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"Inquiry about recharge through my bt on 29th September, but in system no recharge details","Thanks for reporting this. Regarding your mobile issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Reverse the mention amount.,"Your concern is valid, and we are checking it now. Support has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Sim damaged. recommended sim replacement,"Your concern is valid, and we are checking it now. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Bngul bal inquiry,"Sorry this happened. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
credit is epxired,"Your concern is valid, and we are checking it now. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
LEASED LINE BILL ENQUIRY,"We regret the trouble caused. Our internet support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Location tracing enquiry,"We regret the trouble caused. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Recharge record enquiry,"We regret the trouble caused. For mobile service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Recommended BT app to convert data package.,"Thanks for reporting this. For your mobile request, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
Sim location tracing,"We understand this can be frustrating. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Recommended my bt app for data convert from main balance,"We appreciate you bringing this to our attention. Regarding your mobile issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Informed Manager wangdue to check the email sent by customer for mbps increase,"Apologies for the disruption. For your connection concern, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Guided with step to convert main balance to talktime through my bt app,"We regret the trouble caused. Our mobile support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Steps to convert data,"We appreciate you bringing this to our attention. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
B-ngul related call,"We understand this can be frustrating. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
apninquiry,"Thank you for your patience. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
4refrehsed,"Thanks for reporting this. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
sim details issue,"Thanks for reporting this. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Data reversal call,"Thank you for your patience. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
refreshed 3g,"Your concern is valid, and we are checking it now. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Data conversion to 3rd party inquiry,"We regret the trouble caused. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"Sir, When we call to 17516494 it directly going to t cell number 77438170. Sir can you kindly check. contact number 17815914 sent mail to core section and informed Kinley sir","Thank you for your patience. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Kindly reverse the following amt:,"We understand this can be frustrating. We already have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
staff call,"We regret the trouble caused. We have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
data retention inquiry,"We hear you, and we are here to help. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
sms inquiry,"We regret the trouble caused. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
data reversal is not possible as it is more than 5 days,"Apologies for the disruption. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Deduction inquiry,"Sorry this happened. For your mobile request, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Kindly reverse the amount mentioned,"We regret the trouble caused. Support has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Convert data to talktime,"Thanks for reporting this. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Informed rf sir to check of slow net speed at lower Taba,"Apologies for the disruption. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
sms issue,"We understand your concern. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
usage yet not updated call us later.,"We understand this can be frustrating. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
simissue,"Apologies for the disruption. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Bal deduciton inquiry,"We understand your concern. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Bandwidth increase enquiry,"We hear you, and we are here to help. Regarding your internet issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
bills info,"Apologies for the disruption. For internet service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
volte off,"We understand your concern. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
balance inquire for the pocket wifi,"Sorry this happened. Regarding your mobile issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
no down as per noc,"Thanks for reporting this. For your mobile request, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
4g net issue,"Thank you for your patience. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
17724076 sim active from here,"Sorry this happened. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
sim status inquire,"Sorry this happened. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
BT app issue,"We appreciate you bringing this to our attention. Regarding your mobile issue, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
Other UDP 781.2 MB YouTube 671.06 MB Google Play 75.14 MB FacebookContent 63.75 MB,"Thanks for reporting this. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"SIM reset completed, Customer is inquiring about BT services, as they have experienced repeated SIM issues and have had to replace the SIM multiple times, each time paying for a new one.","We regret the trouble caused. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Recommended MY BT app to convert data,"Thanks for reporting this. For your mobile request, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
"99 freeze from 17464561,transfer to 17653415","We understand this can be frustrating. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
pocket wifi recharge enquiry,"Your concern is valid, and we are checking it now. For your mobile request, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
call drop after saying data reversal,"Apologies for the disruption. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
data sharing enquiry,"Thank you for your patience. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"199 freeze from 17553589,transfer to 17242813","Apologies for the disruption. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
sim inquire,"We hear you, and we are here to help. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
data share inquire,"Your concern is valid, and we are checking it now. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
sim found blocked,"Thank you for your patience. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
s to s inquire,"Sorry this happened. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
lot of sound made by kids and couldnt hear disconnect the call,"We regret the trouble caused. We have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
re scaned and working,"Thanks for reporting this. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Package sharing,"We understand this can be frustrating. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Site down as per nnoc,"We appreciate you bringing this to our attention. Regarding your mobile issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
s to s info,"We hear you, and we are here to help. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
given number,"We appreciate you bringing this to our attention. We have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Kindly unbock MY BT app 17630706,"We regret the trouble caused. Our mobile support team has reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
fibre is up informed to check the router,"We understand this can be frustrating. For internet service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Inform him to activated to 4 G sim.,"We understand this can be frustrating. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
receiving scam call,"Your concern is valid, and we are checking it now. We have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Balance check,"We regret the trouble caused. Our mobile support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
call drop due to network issue,"We understand this can be frustrating. Regarding your mobile issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
package balance check,"Apologies for the disruption. For your mobile request, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
no customer code ..no isp number difficult to findout,"Your concern is valid, and we are checking it now. For internet service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
recharged enquiry,"Your concern is valid, and we are checking it now. Our mobile support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
17434065 sim active here,"Apologies for the disruption. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Sangay Dorji | 4Mbps|5.12269| KABISA 17412384,"Sorry this happened. For internet service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
recommended bt app,"Apologies for the disruption. For your mobile request, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
4g refrsh,Thank you for your patience. Our mobile support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
data to talk time reverse enq,"We understand your concern. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
net issur,"Thanks for reporting this. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Telegram enquiry,"Apologies for the disruption. Support has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Kindly reverse data 699 from 17727227 to 17727224 la,"Thanks for reporting this. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
CUSTOMER REQUESTING TO ACTIVATE VOICE 200 & DATAPAYG,"Apologies for the disruption. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
freez data 699...kindly reverse from 17609646 to 17755434,"Sorry this happened. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"PHONE LOST,,,SIM BLOCK","We understand this can be frustrating. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
recharg einfo,"Thanks for reporting this. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
recommended btapp,"Thank you for your patience. Regarding your mobile issue, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
shift form enquiry,"Apologies for the disruption. For your connection concern, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
INFORM TO CALL BANK & CHECK STATMENT,"Thank you for your patience. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Khampa Dorji DAZHI Pangrizampa|4Mbps|4.6258| 17597540 KABISA,"We understand your concern. For your connection concern, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
tourist data checked,"Thank you for your patience. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
NET SLOW,"Thank you for your patience. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
no isp no cust code and cant find her contact number too,"Apologies for the disruption. Our internet support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
wifi issue,"Apologies for the disruption. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
SIM IS ACTIVE,"Apologies for the disruption. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Service number provided.,"Apologies for the disruption. For internet service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
SIM LOST CASE,"Sorry this happened. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
refrteshed 4g,"Your concern is valid, and we are checking it now. Regarding your mobile issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
B.NGUL CHANGED,"We understand your concern. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
all reset done,"We understand this can be frustrating. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"SIM REFRESH,& INFORM TO REPLACE 4 SIM","We appreciate you bringing this to our attention. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"SIM ISSUE,INFORM TO SIM REPLACE","Thanks for reporting this. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
data freefies enq,"Thanks for reporting this. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
4G REFRESHEDF,"Apologies for the disruption. Regarding your mobile issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
INFORM TO RECHARGE,"We hear you, and we are here to help. Our mobile support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
bngul has different ownership,"We regret the trouble caused. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
BT APPS DOWNLOAD,"Thank you for your patience. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
we have freeze data 199 from 17324531 please transfer to 17954645,"We understand this can be frustrating. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
inform to recharge talk time,"We appreciate you bringing this to our attention. For your mobile request, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Net issue in haa,"Thank you for your patience. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
B-ngul registration enquiry,"Sorry this happened. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
ll issue number given,"Sorry this happened. Regarding your internet issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
sim suspension,"Apologies for the disruption. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
voce break. call dropped,"We hear you, and we are here to help. Support has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
"699 freeze from 17243936,transfer to 17643570","We understand this can be frustrating. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
restored as per nnoc,"Thank you for your patience. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
facebook code inquire,"We understand this can be frustrating. We have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
sim net issue,"We regret the trouble caused. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
ISP019435 Hotel Riverview_17759530/17408733|40Mbps|5.15075|,"Your concern is valid, and we are checking it now. For internet service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
data sharing,"Thanks for reporting this. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"freeze data 199 from 17390080, reverse to 17900805","Sorry this happened. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
B.NGUL REGISTER,"Sorry this happened. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"SIM DEACTIVE,INF TO REPLACE SIM","Sorry this happened. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
paro grand resort....Provided Linestaff number bondey,"We understand your concern. For your connection concern, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
down as per nnoc,"We understand this can be frustrating. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
4g refresh & 5g activate,"We understand this can be frustrating. Regarding your mobile issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
biil enquiry,"We regret the trouble caused. For internet service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
5.15868...bill enquire,"We understand this can be frustrating. For internet service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
refrershed 4g,"Your concern is valid, and we are checking it now. Our mobile support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
we have freeze data 699 from 17811508 please transfer to 17781108,"Thank you for your patience. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
DATA USAGE DETAIL,"Thank you for your patience. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
he will call back for reversal,"Thanks for reporting this. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
17552118 data conversion query,"We understand your concern. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
data conversion query,"Sorry this happened. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
customer will call back,"We understand your concern. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
data revese enquery,"We regret the trouble caused. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
already calling by someone at same time,"Thank you for your patience. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
17715052- *180#,"Apologies for the disruption. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Sim expired informed to reactivated,"Your concern is valid, and we are checking it now. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
17612352- sim refreshed,"Thank you for your patience. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
do it from mbob for add money,"We regret the trouble caused. We have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
sim serial no.enquery,"Apologies for the disruption. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
17256253 tourist sim issue informed visit the shop from where he bought the sim,"Apologies for the disruption. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
tcell,"Your concern is valid, and we are checking it now. We have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
1299 data info,"Your concern is valid, and we are checking it now. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
LL inquiry,"We regret the trouble caused. Regarding your internet issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
call details info,"Thanks for reporting this. Support has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
